City,State,Team,Year,PositionInLeague,InSuperBowl,WonSuperBowl
Atlanta,Georgia,Falcons,2018,17,0,0
Baltimore,Maryland,Ravens,2018,8,0,0
Boston,Massachusets,Patriots,2018,7,1,1
Buffalo,NewYork,Bills,2018,22,0,0
Charlotte,NorthCarolina,Panthers,2018,18,0,0
Chicago,Illinois,Bears,2018,3,0,0
Cincinatti,Ohio,Bengals,2018,23,0,0
Cleveland,Ohio,Browns,2018,16,0,0
Dallas,Texas,Cowboys,2018,9,0,0
Denver,Colorado,Broncos,2018,24,0,0
Detroit,Michigan,Lions,2018,25,0,0
Green Bay,Wisconsin,Packers,2018,21,0,0
Houston,Texas,Texans,2018,6,0,0
Indianapolis ,Indiana,Cults,2018,10,0,0
Jacksonville,Florida,Jaguars,2018,26,0,0
Kansas City,Missouri,Chiefs,2018,4,0,0
Las Vegas,Nevada,Raiders,2018,30,0,0
Los Angeles,California,Rams,2018,1,1,0
Los Angeles,California,Chargers,2018,5,0,0
Miami,Florida,Dolphins,2018,19,0,0
Minneapolis,Minnesota,Vikings,2018,15,0,0
Nashville,Tennessee,Titans,2018,14,0,0
New Orleans,Louisiana,Saints,2018,2,0,0
New York City,NewYork,Giants,2018,27,0,0
New York City,NewYork,Jets,2018,29,0,0
Philadelphia,Pennsylvania,Eagles,2018,13,0,0
Phoenix,Arizona,Cardinals,2018,32,0,0
Pittsburgh,Pennsylvania,Steelers,2018,12,0,0
San Francisco,California,49ers,2018,31,0,0
Seattle,Washington,Sea hawks,2018,11,0,0
Tampa,Florida,Buccaneers,2018,28,0,0
Washington D.C.,WashingtonD. C.,Red skins,2018,20,0,0
Atlanta,Georgia,Falcons,2017,8,0,0
Baltimore,Maryland,Ravens,2017,11,0,0
Boston,Massachusets,Patriots,2017,2,1,0
Buffalo,NewYork,Bills,2017,12,0,0
Charlotte,NorthCarolina,Panthers,2017,5,0,0
Chicago,Illinois,Bears,2017,25,0,0
Cincinatti,Ohio,Bengals,2017,19,0,0
Cleveland,Ohio,Browns,2017,32,0,0
Dallas,Texas,Cowboys,2017,13,0,0
Denver,Colorado,Broncos,2017,26,0,0
Detroit,Michigan,Lions,2017,14,0,0
Green Bay,Wisconsin,Packers,2017,20,0,0
Houston,Texas,Texans,2017,29,0,0
Indianapolis ,Indiana,Cults,2017,30,0,0
Jacksonville,Florida,Jaguars,2017,9,0,0
Kansas City,Missouri,Chiefs,2017,10,0,0
Las Vegas,Nevada,Raiders,2017,23,0,0
Los Angeles,California,Rams,2017,6,0,0
Los Angeles,California,Chargers,2017,15,0,0
Miami,Florida,Dolphins,2017,22,0,0
Minneapolis,Minnesota,Vikings,2017,1,0,0
Nashville,Tennessee,Titans,2017,17,0,0
New Orleans,Louisiana,Saints,2017,7,0,0
New York City,NewYork,Giants,2017,31,0,0
New York City,NewYork,Jets,2017,27,0,0
Philadelphia,Pennsylvania,Eagles,2017,3,1,1
Phoenix,Arizona,Cardinals,2017,18,0,0
Pittsburgh,Pennsylvania,Steelers,2017,4,0,0
San Francisco,California,49ers,2017,24,0,0
Seattle,Washington,Sea hawks,2017,16,0,0
Tampa,Florida,Buccaneers,2017,28,0,0
Washington D.C.,WashingtonD. C.,Red skins,2017,21,0,0
Atlanta,Georgia,Falcons,2016,5,1,0
Baltimore,Maryland,Ravens,2016,17,0,0
Boston,Massachusets,Patriots,2016,1,1,1
Buffalo,NewYork,Bills,2016,21,0,0
Charlotte,NorthCarolina,Panthers,2016,25,0,0
Chicago,Illinois,Bears,2016,29,0,0
Cincinatti,Ohio,Bengals,2016,24,0,0
Cleveland,Ohio,Browns,2016,32,0,0
Dallas,Texas,Cowboys,2016,2,0,0
Denver,Colorado,Broncos,2016,11,0,0
Detroit,Michigan,Lions,2016,12,0,0
Green Bay,Wisconsin,Packers,2016,9,0,0
Houston,Texas,Texans,2016,13,0,0
Indianapolis ,Indiana,Cults,2016,18,0,0
Jacksonville,Florida,Jaguars,2016,30,0,0
Kansas City,Missouri,Chiefs,2016,3,0,0
Las Vegas,Nevada,Raiders,2016,4,0,0
Los Angeles,California,Rams,2016,28,0,0
Los Angeles,California,Chargers,2016,27,0,0
Miami,Florida,Dolphins,2016,10,0,0
Minneapolis,Minnesota,Vikings,2016,19,0,0
Nashville,Tennessee,Titans,2016,15,0,0
New Orleans,Louisiana,Saints,2016,22,0,0
New York City,NewYork,Giants,2016,6,0,0
New York City,NewYork,Jets,2016,26,0,0
Philadelphia,Pennsylvania,Eagles,2016,23,0,0
Phoenix,Arizona,Cardinals,2016,20,0,0
Pittsburgh,Pennsylvania,Steelers,2016,7,0,0
San Francisco,California,49ers,2016,31,0,0
Seattle,Washington,Sea hawks,2016,8,0,0
Tampa,Florida,Buccaneers,2016,14,0,0
Washington D.C.,WashingtonD. C.,Red skins,2016,16,0,0
Atlanta,Georgia,Falcons,2015,14,0,0
Baltimore,Maryland,Ravens,2015,26,0,0
Boston,Massachusets,Patriots,2015,5,0,0
Buffalo,NewYork,Bills,2015,15,0,0
Charlotte,NorthCarolina,Panthers,2015,1,1,0
Chicago,Illinois,Bears,2015,22,0,0
Cincinatti,Ohio,Bengals,2015,3,0,0
Cleveland,Ohio,Browns,2015,31,0,0
Dallas,Texas,Cowboys,2015,29,0,0
Denver,Colorado,Broncos,2015,4,1,1
Detroit,Michigan,Lions,2015,17,0,0
Green Bay,Wisconsin,Packers,2015,8,0,0
Houston,Texas,Texans,2015,12,0,0
Indianapolis ,Indiana,Cults,2015,16,0,0
Jacksonville,Florida,Jaguars,2015,27,0,0
Kansas City,Missouri,Chiefs,2015,6,0,0
Las Vegas,Nevada,Raiders,2015,19,0,0
Los Angeles,California,Rams,2015,21,0,0
Los Angeles,California,Chargers,2015,30,0,0
Miami,Florida,Dolphins,2015,23,0,0
Minneapolis,Minnesota,Vikings,2015,7,0,0
Nashville,Tennessee,Titans,2015,32,0,0
New Orleans,Louisiana,Saints,2015,18,0,0
New York City,NewYork,Giants,2015,24,0,0
New York City,NewYork,Jets,2015,9,0,0
Philadelphia,Pennsylvania,Eagles,2015,20,0,0
Phoenix,Arizona,Cardinals,2015,2,0,0
Pittsburgh,Pennsylvania,Steelers,2015,10,0,0
San Francisco,California,49ers,2015,28,0,0
Seattle,Washington,Sea hawks,2015,11,0,0
Tampa,Florida,Buccaneers,2015,25,0,0
Washington D.C.,WashingtonD. C.,Red skins,2015,13,0,0
